S. No.,beta1,beta2,beta3,lambda,Runred,Pollutant,Cost,Infiltration trench,Vegetated_filterstrip,Wet_pond,Bioretention,Constructed_wetland,Porous_Pavement,Grassed_swales,Sand_filter__surface_,Infiltration Basin,Rain Barrel,Time
16,0.1,3,0.4,0.711064298660439,14255979.3241519,99024763265.9097,20061625916.9791,43051022.8495055,450673.987042068,18561.3997405236,1871774.29453567,27311.7661406616,71090.1937261439,264415.6409809,86925.903394802,39805317.6290625,16309.8004053074,46.6559238433838
17,0.1,3,1,0.549738008781596,13321286.9327996,90873453566.681,15746673253.7865,42304369.7908696,124872.187012205,13932.6055119956,471736.301057007,22304.4696825275,30187.3413147575,68344.7953603238,19787.5566858063,37056124.7163365,16502.8274059438,47.5201179981232
18,0.1,3,3,0.310315610612029,9931658.98285218,75102145289.0993,11288352470.3261,37978378.8803361,64218.4266793704,18330.8711032943,59863.9038243632,11699.0700477784,34493.7575521717,62399.1787980518,13461.4686240463,21500907.6199742,34959.6805604899,47.6389627456665
19,0.1,3,5,0.214552148444835,8109968.29281197,66442070600.3931,9266506811.78193,36613528.7375038,43805.7076317706,11781.5821837796,64427.0646437338,13786.2591816018,29251.7439557744,54635.1787467057,19182.3019918696,11945794.7916561,17613.8446843473,47.5017411708832
20,0.1,5,0.1,0.626939352670662,14551036.992589,101040675535.074,22497358339.0057,43140390.6091812,435444.611779183,48670.5252264927,1581641.49629712,46748.6931968373,80035.8287823137,193481.436532652,828255.001088235,40095150.8573687,1270490.53013268,44.3564448356628
21,0.1,5,0.4,0.626939352670662,14551036.992589,101040675535.074,22497358339.0057,43140390.6091812,435444.611779183,48670.5252264927,1581641.49629712,46748.6931968373,80035.8287823137,193481.436532652,828255.001088235,40095150.8573687,1270490.53013268,46.9137194156647
22,0.1,5,1,0.483591449261078,13936208.1810947,95928324164.4545,18053472879.8215,43057807.3507146,336494.430079923,30523.4878619351,1217579.80092299,28036.6694220305,28045.7603001321,102239.962035547,27704.8918178951,38951107.9449793,6540.22409530776,48.8613226413727
23,0.1,5,3,0.238444127535561,11727092.3888813,83277649949.6912,13285390582.1279,40226595.9483524,84983.1314146917,12620.7375308095,56870.2453937741,16704.411430281,35932.083092336,68135.9477926143,16287.3218684631,30048294.8059046,17091.7072185816,44.9033586978912
24,0.1,5,5,0.14223485661504,9931658.98285218,75102145289.0993,11288352470.3261,37978378.8803361,64218.4266793704,18330.8711032943,59863.9038243632,11699.0700477784,34493.7575521717,62399.1787980518,13461.4686240463,21500907.6199742,34959.6805604899,49.54061460495
25,0.4,0.1,0.1,0.945796467280441,13459601.4022353,85171879479.6797,14941349034.6677,40409394.0726371,35317.9724393395,8769.45039868449,26870.2152620373,9327.72409219087,21104.9029011923,40981.2434007955,17968.1974196935,38483273.9527243,1934713.75788661,45.1478719711304
26,0.4,0.1,0.4,0.850024267014955,10320216.4305069,66542696947.848,11675147612.5885,30920509.6836049,62715.6621109373,11459.8010584519,59532.0357601739,16409.244572243,22208.3043510496,48697.4881257762,18803.772265781,30138582.1687344,815345.001155344,46.2200524806976
27,0.4,0.1,1,0.750341033640063,7544020.44972705,49624682852.7792,8721184994.51394,25648431.7383027,34396.0623368413,15673.2345295512,56113.9472463233,10131.6316882112,55642.6273477563,53287.023724481,33471.3688477321,18336854.6555998,1167255.55082559,46.2784435749054
28,0.4,0.1,3,0.608488643278114,4467733.98343882,29511902789.0457,5327823392.41312,15604041.9283268,43723.9980409964,11308.3576447919,37686.5671905423,17201.0474522767,40095.5182660626,50050.4584823213,29552.7590035919,10074242.2548316,1005587.73509868,47.6295073032379
29,0.4,0.1,5,0.518750440548241,3505359.49486202,25594168762.6041,4302144035.90954,12159790.0017086,46675.5494377777,15946.7185745881,50543.0717793484,17075.8516101617,36062.5682931951,47945.4012705574,26641.3287967152,8307541.21163893,418285.630105505,46.7413182258606
30,0.4,0.4,0.1,0.935587685618815,13716656.1641584,93929184932.126,17001401336.184,42740664.1623208,239560.829052575,17249.3648469473,849110.110081278,17890.6221863761,27715.0161915142,102943.72590008,25206.3079771297,38395405.2417602,63693.9285259365,48.439820766449
31,0.4,0.4,0.4,0.849801723816507,10297934.691507,73872923612.5933,11679547466.1845,35977230.6617043,61249.4079770572,17109.0544877325,50034.3784223442,16879.8074928954,25709.5646432188,57757.6796687945,20231.1994438085,25752674.4852302,9143.54504216425,47.2276937961578
32,0.4,0.4,1,0.749782816670864,7531297.64542299,55309857361.3985,8750656962.41614,25015724.6554292,57928.0751681216,16840.5327256092,69360.8193168214,12459.234645602,36750.2518999042,88317.7304822744,21383.0844202168,19869231.5500978,155107.256810602,48.8149740695953
33,0.4,0.4,3,0.607053062073335,4452015.7597318,33172151523.8925,5360382280.53368,15081803.5776987,48757.0198111074,10600.9314368752,97818.7833028462,9321.33337288472,29476.3344879883,52239.3735901591,28282.0207750926,11282559.0382194,163778.633849273,46.7856266498566
34,0.4,0.4,5,0.518750440548241,3505359.49486202,25594168762.6041,4302144035.90954,12159790.0017086,46675.5494377777,15946.7185745881,50543.0717793484,17075.8516101617,36062.5682931951,47945.4012705574,26641.3287967152,8307541.21163893,418285.630105505,45.5486371517181
