S. No.,beta1,beta2,beta3,lambda,Runred,Pollutant,Cost,Infiltration trench,Vegetated_filterstrip,Wet_pond,Bioretention,Constructed_wetland,Porous_Pavement,Grassed_swales,Sand_filter__surface_,Infiltration Basin,Rain Barrel,Time
105,5,0.4,0.1,0.796716560452526,14781444.6964515,98920455397.8111,21508615893.4227,43191884.4901804,135156.621063552,13607.5355036983,2161883.24432694,23673.417261224,460979.077319758,220093.373371612,171051.169521385,40238593.5479756,2089624.8165278,35.8570566177368
106,5,0.4,0.4,0.733194978783339,14537844.2031474,94798814276.7817,18828620586.0513,43170739.2550897,157643.90507439,21737.1634977311,1296864.87630106,11711.6424037616,133395.536964337,177734.456340367,47004.3403813665,40238133.99165,2092687.16462954,38.3635029792786
107,5,0.4,1,0.563761732417929,13800287.507071,87638016560.2631,15256232136.8155,41795924.3914028,37499.3189430519,9420.33104683691,28013.4903672661,4564.67754038823,22906.2701061976,27232.0474543502,9041.4304314468,39088444.1803078,2005988.8036687,35.6086978912354
108,5,0.4,3,0.24381540672687,11674696.6804462,75816178512.1158,13124302156.5993,35979735.5282378,38893.4265368211,11661.6601242819,46327.8041819023,12428.3373685991,30938.2559895841,40628.6648300644,31937.4973363768,32813827.1385475,1251333.7133573,39.525342464447
109,5,0.4,5,0.131187227845516,10320216.4305069,66542696947.848,11675147612.5885,30920509.6836049,62715.6621109373,11459.8010584519,59532.0357601739,16409.244572243,22208.3043510496,48697.4881257762,18803.772265781,30138582.1687344,815345.001155344,36.2615711688995
110,5,1,0.1,0.796716560452526,14781444.6964515,98920455397.8111,21508615893.4227,43191884.4901804,135156.621063552,13607.5355036983,2161883.24432694,23673.417261224,460979.077319758,220093.373371612,171051.169521385,40238593.5479756,2089624.8165278,27.4840190410614
111,5,1,0.4,0.733194978783339,14537844.2031474,94798814276.7817,18828620586.0513,43170739.2550897,157643.90507439,21737.1634977311,1296864.87630106,11711.6424037616,133395.536964337,177734.456340367,47004.3403813665,40238133.99165,2092687.16462954,33.548015832901
112,5,1,1,0.563761732417929,13800287.507071,87638016560.2631,15256232136.8155,41795924.3914028,37499.3189430519,9420.33104683691,28013.4903672661,4564.67754038823,22906.2701061976,27232.0474543502,9041.4304314468,39088444.1803078,2005988.8036687,40.3364205360413
113,5,1,3,0.24381540672687,11674696.6804462,75816178512.1158,13124302156.5993,35979735.5282378,38893.4265368211,11661.6601242819,46327.8041819023,12428.3373685991,30938.2559895841,40628.6648300644,31937.4973363768,32813827.1385475,1251333.7133573,39.9015991687775
114,5,1,5,0.131187227845516,10320216.4305069,66542696947.848,11675147612.5885,30920509.6836049,62715.6621109373,11459.8010584519,59532.0357601739,16409.244572243,22208.3043510496,48697.4881257762,18803.772265781,30138582.1687344,815345.001155344,40.3763830661774
115,5,3,0.1,0.75221054256367,14616624.7995093,100886008614.521,22689594617.7952,43110838.8426774,381943.940287724,47327.4647470014,1545016.50070839,38243.1488293241,131220.424120821,177071.498016708,894472.11906902,40090690.8037155,1697771.47079565,39.3329305648804
116,5,3,0.4,0.708306288303228,14487492.7952497,98912878987.1827,20205790421.3056,43026371.8808372,488045.57230143,37155.9512279248,1801388.05333782,32954.228553106,86816.1569200286,223820.178109807,52775.6370299417,40081850.1242511,1245878.25816643,35.0404350757599
117,5,3,1,0.547567255073634,13725563.920104,90761792343.0061,15822589387.1052,42720049.2376243,132951.954718019,25161.623343315,189668.71970301,17997.8252372681,36177.4585138193,80018.1455435848,21906.6413588009,39316295.9911713,69250.8397015353,38.8171589374542
118,5,3,3,0.24381540672687,11674696.6804462,75816178512.1158,13124302156.5993,35979735.5282378,38893.4265368211,11661.6601242819,46327.8041819023,12428.3373685991,30938.2559895841,40628.6648300644,31937.4973363768,32813827.1385475,1251333.7133573,39.5398354530334
119,5,3,5,0.131187227845516,10320216.4305069,66542696947.848,11675147612.5885,30920509.6836049,62715.6621109373,11459.8010584519,59532.0357601739,16409.244572243,22208.3043510496,48697.4881257762,18803.772265781,30138582.1687344,815345.001155344,35.2471771240234
120,5,5,0.1,0.627147136585235,14505269.2509743,101047372145.932,22392210395.1254,43082197.810844,349150.880717316,48753.7472068606,1696095.72076971,42562.2188077938,95912.2063435135,178646.400369622,801935.906728459,40165512.6276851,937580.668999391,28.5187544822693
121,5,5,0.4,0.627147136585235,14505269.2509743,101047372145.932,22392210395.1254,43082197.810844,349150.880717316,48753.7472068606,1696095.72076971,42562.2188077938,95912.2063435135,178646.400369622,801935.906728459,40165512.6276851,937580.668999391,25.3879749774933
122,5,5,1,0.484417052116598,13982991.6791588,95961056202.8668,18028021698.5946,42992720.9164211,304491.677688532,15251.9166914978,1102026.2543241,52494.6008453571,34277.3907958617,176255.541552884,29034.2689245209,39376467.4202781,13411.6984112226,39.8220951557159
123,5,5,3,0.237887833509715,11728327.1929169,83305936341.7635,13302810422.7119,39999165.2987958,71332.1205417617,11505.4526122252,74845.7007587301,14070.3292923325,39023.5242948151,56027.917578373,26533.9355783369,30276718.1428075,14381.5254007604,38.6789047718048
124,5,5,5,0.130758550146585,10297934.691507,73872923612.5933,11679547466.1845,35977230.6617043,61249.4079770572,17109.0544877325,50034.3784223442,16879.8074928954,25709.5646432188,57757.6796687945,20231.1994438085,25752674.4852302,9143.54504216425,39.1432220935822
