S. No.,s1,s2,s3,lambda,Runred,Pollutant,Cost,Infiltration trench,Vegetated_filterstrip,Wet_pond,Bioretention,Constructed_wetland,Porous_Pavement,Grassed_swales,Sand_filter__surface_,Infiltration Basin,Rain Barrel,Time
16,0.2,0.8,0.4,0.61414435316364,10470475.591466,77808635453.5049,11884592142.6108,38071315.5331413,78541.5228873799,11532.7586275329,47694.3232316004,14560.2124382892,35220.9473101872,56013.528806617,21797.5462860135,24642954.8446038,42525.3251862035,46.021829366684
17,0.2,0.8,0.6,0.59951462124203,10167105.4492068,76393480647.4837,11616501222.7669,38318597.8891388,85299.1834233765,10634.2647311303,88842.0602672761,12925.1601532713,26182.990601536,78654.5755709624,16159.806883215,22531548.8757855,24003.2812228648,48.8759815692902
18,0.2,0.8,0.8,0.58621978165479,9896860.95673604,75108316927.0786,11304132936.2085,39100752.9935241,59144.8520104435,18098.6900547302,63199.9886402295,20708.0431958029,36128.3502839232,69147.9866611665,17428.1928217971,20189158.0202881,3719.15910651749,46.8838160037994
19,0.2,0.8,1,0.573891575375278,9609397.83061678,73849756153.0741,10972909628.7919,38322705.3482098,56354.2446965396,12354.0287577792,74425.3749822222,15899.2743619841,28572.3974736871,64713.4282534622,25012.3535907713,19164541.6297413,74712.1121560711,46.7605743408203
20,0.2,1,0.2,0.61838054854335,11054028.2695517,80414004829.4836,12534914188.6881,39400991.9481816,54300.0418090918,13853.4074162146,58039.3439871589,11807.0501010637,32320.2803342325,75356.5136091166,27389.5002070908,26840048.7834003,16358.5700416143,46.8598899841309
21,0.2,1,0.4,0.604933499780249,10737845.7461158,79066548544.3261,12200443853.4537,38483369.8839167,79232.9664523002,16033.6973089187,65915.2413729169,8495.41066455782,29611.1415544031,73180.1244934601,18213.2707168157,25820490.0279981,33870.2708214465,50.7198948860169
22,0.2,1,0.6,0.590842074375029,10428622.8384232,77732904545.301,11893746189.1415,37805165.5359799,40888.1006964524,23444.3093186252,101283.864264813,16601.2940509377,38526.1936936843,39200.1664818566,22200.2053829365,24653210.0524249,24678.9567775879,48.7095015048981
23,0.2,1,0.8,0.575733898945641,10159266.072335,76353630417.1588,11632274974.3307,37980031.3677125,63285.212321916,9438.91307206233,106048.774572305,14363.2716650138,37309.6039725145,52542.0879407952,30412.328786443,22815026.8063762,30444.279314089,48.5736877918243
24,0.2,1,1,0.563355454683023,9931658.98285218,75102145289.0993,11288352470.3261,37978378.8803361,64218.4266793704,18330.8711032943,59863.9038243632,11699.0700477784,34493.7575521717,62399.1787980518,13461.4686240463,21500907.6199742,34959.6805604899,44.9250802993774
25,0.4,0.2,0.2,0.635329023389836,10520028.6533685,73369564030.2736,11958725231.7533,34645895.0908657,50607.7085198866,11012.6376313146,37953.4853790566,15526.3926868504,43061.5080949525,68757.2560465912,35300.5518260783,28207856.4272417,205953.684841378,47.8048508167267
26,0.4,0.2,0.4,0.620364057355181,10343390.4161401,72368230888.3863,11690556761.2922,34939557.1055871,51639.2921702149,8196.06064819955,45788.2712426439,16083.1556081846,36625.7191245612,35798.8494479468,28447.2442752861,26662507.8065606,425724.209761507,48.5096845626831
27,0.4,0.2,0.6,0.605037683957765,10077131.435036,69727220482.6436,11421686847.8985,32913351.6843078,37512.9396005915,11320.3874380079,60971.5324365509,18147.0872156799,27995.2283634648,58141.7774830875,24375.9871986343,26532927.9933214,966364.985999315,45.869992017746
28,0.4,0.2,0.8,0.588291981895002,9839104.27513586,67910777035.6841,11226120368.1997,31667887.9340672,45031.4225521048,20268.7216300879,42629.9700001234,14120.1559051883,36484.7655791887,74409.816427405,31163.1220657691,26300622.2544301,998640.775180753,46.9841248989105
29,0.4,0.2,1,0.572264576817405,9590461.25304389,67313869941.7636,11003784445.8781,34376980.2982742,58688.3475436796,22246.5806086914,80126.7698100769,13508.3959885618,36133.8811987224,51173.3571038136,30249.7154292641,22930982.4320743,130367.172533356,49.0004134178162
30,0.4,0.4,0.2,0.636445577020867,10531516.5051198,75937772631.4726,11910495599.8683,38030265.2310326,39525.8297138221,10882.1552592623,52773.4696853341,10358.4173877487,45627.6947058973,58525.8550825557,24094.5283687119,24915471.5443621,189936.489984364,49.7884709835053
31,0.4,0.4,0.4,0.620369026507707,10297934.691507,73872923612.5933,11679547466.1845,35977230.6617043,61249.4079770572,17109.0544877325,50034.3784223442,16879.8074928954,25709.5646432188,57757.6796687945,20231.1994438085,25752674.4852302,9143.54504216425,46.7494683265686
32,0.4,0.4,0.6,0.604902137334172,10071871.3567427,72607508034.4593,11438612417.679,35233491.300635,61722.3618564485,15918.5124177717,39488.802366876,8006.16604361036,33546.8039322334,70348.2248887425,26847.4419043731,24859232.9132548,275734.903223323,47.7780454158783
33,0.4,0.4,0.8,0.589308006558769,9850801.91226274,70673518033.2522,11207958639.277,35359260.0681798,49153.8086237271,11688.1323657717,61180.119547479,9166.91969593223,37621.1087610136,62854.6077149155,29725.1156562617,23021602.5964963,643740.560215749,45.7216672897339
34,0.4,0.4,1,0.572376157455893,9596399.11822673,70187235211.5379,11020987546.1761,35190630.4891836,49698.9485471381,12316.9561241173,71129.2929399888,14584.4242928185,42535.2557747159,102722.494419587,25620.6838430645,21840149.0517468,414397.27427392,47.3322787284851
35,0.4,0.6,0.2,0.635703888950558,10557932.3281262,77805716746.5988,11946002548.324,39541434.8182987,46833.708627704,13573.8248580264,52183.2556964483,13363.0833912573,32330.4663076077,61512.1534699517,23301.8263636808,23755568.0326739,3726.21132108178,45.3789024353027
36,0.4,0.6,0.4,0.620611071825597,10313428.996556,76266636670.7249,11682418552.7461,39196591.5045421,49370.4549001759,9364.53263837201,35156.2763741898,9512.13880719056,46622.3135277719,66477.8013528178,28624.781615114,22531255.8378286,97359.1458057871,45.6379108428955
37,0.4,0.6,0.6,0.605258387501671,10080867.7604213,74847096419.2357,11432426131.3183,37965124.905585,56545.2184030186,10025.9060624294,47799.9703977755,19664.166682414,24330.3228660641,53052.3760394477,27326.5171040953,22333574.212743,142124.891443847,46.7024908065796
